Date,Year,Month,Day,Weekday,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2014-05-16,2014,5,16,Friday,41.52000045776367,40.66999816894531,41.439998626708984,3437500.0,35.213531494140625,0.01768167863055181,34.08155141557966,34.160147476196286
2014-05-19,2014,5,19,Monday,41.470001220703125,41.04999923706055,41.189998626708984,2246100.0,35.0010986328125,-0.006032705392342463,34.16774014064244,34.14375373840332
2014-05-20,2014,5,20,Tuesday,41.0099983215332,40.16999816894531,40.290000915527344,3265100.0,34.236328125,-0.021849900079866313,34.22782952444894,34.11815010070801
2014-05-21,2014,5,21,Wednesday,40.7599983215332,40.220001220703125,40.560001373291016,2154300.0,34.46576690673828,0.006701617676421856,34.278814860752654,34.10034706115723
2014-05-22,2014,5,22,Thursday,41.11000061035156,40.47999954223633,40.86000061035156,2728900.0,34.72068786621094,0.00739635244915493,34.37471498761858,34.09660209655762
2014-05-23,2014,5,23,Friday,41.34000015258789,40.02000045776367,41.13999938964844,4126500.0,34.95861053466797,0.006852475658714496,34.45301273890904,34.09812255859375
2014-05-27,2014,5,27,Tuesday,41.439998626708984,40.90999984741211,41.0,3294500.0,34.83964157104492,-0.003403137647735366,34.55498204912458,34.08357093811035
2014-05-28,2014,5,28,Wednesday,41.119998931884766,40.58000183105469,40.959999084472656,2711200.0,34.8056640625,-0.0009752542509839923,34.686693464006694,34.066311264038085
2014-05-29,2014,5,29,Thursday,41.13999938964844,40.560001373291016,40.86000061035156,2472100.0,34.72068786621094,-0.0024414473499621003,34.785021918160574,34.04836639404297
2014-05-30,2014,5,30,Friday,41.400001525878906,40.709999084472656,41.22999954223633,2871900.0,35.035091400146484,0.009055221922648515,34.82811655317034,34.04566902160644
2014-06-02,2014,6,2,Monday,41.61000061035156,40.93000030517578,41.5099983215332,2705500.0,35.27302169799805,0.006791199575707951,34.85482243129185,34.050773010253906
2014-06-03,2014,6,3,Tuesday,41.41999816894531,40.650001525878906,40.720001220703125,3390300.0,34.601715087890625,-0.019031729570974654,34.82265363420759,34.03805564880371
2014-06-04,2014,6,4,Wednesday,41.16999816894531,40.540000915527344,41.150001525878906,4084900.0,34.96710968017578,0.010560013899803211,34.81719071524484,34.04414123535156
2014-06-05,2014,6,5,Thursday,41.33000183105469,40.7599983215332,41.189998626708984,2298600.0,35.0010986328125,0.0009720263684243058,34.84571811131069,34.06493743896485
2014-06-06,2014,6,6,Friday,42.29999923706055,41.4900016784668,42.060001373291016,3221700.0,35.740379333496094,0.02112164273582362,34.88335009983608,34.10643585205078
2014-06-09,2014,6,9,Monday,42.369998931884766,41.630001068115234,41.81999969482422,2219700.0,35.53643798828125,-0.005706188602864315,34.921588625226704,34.1430103302002
2014-06-10,2014,6,10,Tuesday,41.83000183105469,41.279998779296875,41.279998779296875,2040600.0,35.077579498291016,-0.01291233775713685,34.9816780090332,34.16550529479981
2014-06-11,2014,6,11,Wednesday,41.45000076293945,40.91999816894531,40.97999954223633,1730100.0,34.82265853881836,-0.007267347494289811,35.0071702684675,34.184761123657225
2014-06-12,2014,6,12,Thursday,40.91999816894531,40.540000915527344,40.7400016784668,1804700.0,34.61871337890625,-0.005856679773164397,34.99988637651716,34.18438606262207
2014-06-13,2014,6,13,Friday,41.119998931884766,40.650001525878906,41.099998474121094,1702700.0,34.92462921142578,0.008836718718319814,34.99745913914272,34.17474601745605
2014-06-16,2014,6,16,Monday,41.15999984741211,40.790000915527344,41.02000045776367,1986000.0,34.85664749145508,-0.0019465266061711173,34.99867384774344,34.161379699707034
2014-06-17,2014,6,17,Tuesday,41.5099983215332,41.02000045776367,41.2400016784668,2076800.0,35.0435905456543,0.005363196625408406,35.01566859654018,34.1629093170166
2014-06-18,2014,6,18,Wednesday,41.95000076293945,41.5,41.75,2738800.0,35.476959228515625,0.012366560506884783,35.06968797956194,34.18670234680176
2014-06-19,2014,6,19,Thursday,41.9900016784668,41.40999984741211,41.59000015258789,2731000.0,35.34099578857422,-0.0038324434477496894,35.09153829302107,34.20114799499512
2014-06-20,2014,6,20,Friday,41.970001220703125,41.5,41.68000030517578,2897000.0,35.4174690246582,0.002163867609771941,35.10185595921108,34.23003921508789
2014-06-23,2014,6,23,Monday,42.04999923706055,41.540000915527344,41.790000915527344,1885600.0,35.51094055175781,0.0026391362701421173,35.16680063520159,34.27252662658692
2014-06-24,2014,6,24,Tuesday,42.060001373291016,41.36000061035156,41.61000061035156,2833200.0,35.357994079589844,-0.0043070239704027236,35.194720949445454,34.32708038330078
2014-06-25,2014,6,25,Wednesday,41.779998779296875,41.099998474121094,41.439998626708984,2122300.0,35.213531494140625,-0.0040857121341226765,35.20989472525461,34.38894203186035
2014-06-26,2014,6,26,Thursday,41.66999816894531,40.75,40.97999954223633,2376200.0,34.82265853881836,-0.01110007825790793,35.14434323992048,34.433298950195315
2014-06-27,2014,6,27,Friday,41.310001373291016,40.88999938964844,41.22999954223633,2120000.0,35.035091400146484,0.00610042053771731,35.108532769339426,34.471197509765624
2014-06-30,2014,6,30,Monday,41.650001525878906,41.2400016784668,41.56999969482422,1953000.0,35.32400131225586,0.00824630108166824,35.12613432747977,34.52201240539551
2014-07-01,2014,7,1,Tuesday,41.90999984741211,41.5,41.65999984741211,3292900.0,35.400482177734375,0.0021651246358656007,35.1674074445452,34.57656631469727
2014-07-02,2014,7,2,Wednesday,41.849998474121094,41.529998779296875,41.650001525878906,2379400.0,35.3919792175293,-0.00024019334432756612,35.22264071873256,34.62449203491211
2014-07-03,2014,7,3,Thursday,42.11000061035156,41.72999954223633,42.0,2830600.0,35.689395904541016,0.008403505358762553,35.27726691109793,34.67360740661621
2014-07-07,2014,7,7,Monday,41.880001068115234,41.4900016784668,41.630001068115234,2005000.0,35.561256408691406,-0.0035904080918698345,35.327596119471956,34.72338897705078
2014-07-08,2014,7,8,Tuesday,41.58000183105469,40.939998626708984,41.25,2606800.0,35.23665237426758,-0.009128024912654409,35.34138625008719,34.76905784606934
2014-07-09,2014,7,9,Wednesday,41.45000076293945,40.95000076293945,41.41999816894531,3283300.0,35.38187026977539,0.004121217133948418,35.334594181605745,34.81100311279297
2014-07-10,2014,7,10,Thursday,41.209999084472656,40.65999984741211,40.970001220703125,3587600.0,34.997474670410156,-0.010864196732234377,35.31005695887974,34.8350634765625
2014-07-11,2014,7,11,Friday,40.93000030517578,40.279998779296875,40.650001525878906,3899500.0,34.724117279052734,-0.007810774746800253,35.260531834193635,34.86164428710938
2014-07-14,2014,7,14,Monday,40.79999923706055,40.150001525878906,40.220001220703125,3987500.0,34.356815338134766,-0.010577718591554874,35.178094318934846,34.873741149902344
2014-07-15,2014,7,15,Tuesday,40.2599983215332,39.619998931884766,39.66999816894531,4038800.0,33.886985778808594,-0.01367500318938697,35.07302229745047,34.883919143676756
2014-07-16,2014,7,16,Wednesday,39.779998779296875,38.97999954223633,39.7599983215332,5546800.0,33.9638671875,0.0022687591393710793,34.98376056126186,34.885947647094724
2014-07-17,2014,7,17,Thursday,40.130001068115234,39.4900016784668,39.540000915527344,4323100.0,33.77593994140625,-0.005533152189539647,34.90899494716099,34.893225021362305
2014-07-18,2014,7,18,Friday,39.959999084472656,39.369998931884766,39.880001068115234,2456100.0,34.066368103027344,0.0085986700037044,34.8398004259382,34.91531829833984
2014-07-21,2014,7,21,Monday,39.849998474121094,39.27000045776367,39.43000030517578,3340500.0,33.681968688964844,-0.011283839031503318,34.72251238141741,34.92207588195801
2014-07-22,2014,7,22,Tuesday,39.939998626708984,39.45000076293945,39.47999954223633,2492100.0,33.72467803955078,0.0012680182378985716,34.602812085832866,34.90793411254883
2014-07-23,2014,7,23,Wednesday,39.959999084472656,39.56999969482422,39.939998626708984,3086100.0,34.11762237548828,0.01165153705771993,34.51178659711565,34.89230377197266
2014-07-24,2014,7,24,Thursday,40.470001220703125,39.77000045776367,40.15999984741211,4309700.0,34.3055534362793,0.005508328180747757,34.41294070652553,34.87737327575684
2014-07-25,2014,7,25,Friday,40.25,39.849998474121094,39.91999816894531,2502700.0,34.10053253173828,-0.005976318234359068,34.308603286743164,34.85851211547852
2014-07-28,2014,7,28,Monday,40.349998474121094,39.91999816894531,40.31999969482422,3496100.0,34.442230224609375,0.010020303716754775,34.25185884748186,34.85532241821289
2014-07-29,2014,7,29,Tuesday,40.720001220703125,40.290000915527344,40.400001525878906,3303600.0,34.51057052612305,0.0019842008217239027,34.189623151506694,34.84126319885254
2014-07-30,2014,7,30,Wednesday,41.06999969482422,40.54999923706055,40.900001525878906,3608000.0,34.93768310546875,0.012376282768851832,34.18535232543945,34.83999488830566
2014-07-31,2014,7,31,Thursday,40.81999969482422,40.09000015258789,40.11000061035156,3666600.0,34.262847900390625,-0.019315396588862388,34.152404512677876,34.84052528381348
2014-08-01,2014,8,1,Friday,40.209999084472656,39.619998931884766,40.029998779296875,3165400.0,34.19451141357422,-0.0019944777216148735,34.14081137520926,34.835100173950195
2014-08-04,2014,8,4,Monday,40.459999084472656,40.0,40.119998931884766,3876900.0,34.271385192871094,0.0022481321159149026,34.168268476213726,34.826114120483396
